Data Murano SaccaFisola RioNovo ParcoBissuola viaTagliamento
01/01/2022 39 37 42 47 50
02/01/2022 35 40 34 42 42
03/01/2022 53 58 55 49 54
04/01/2022 52 55 55 57 63
05/01/2022 24 22 23 28 27
06/01/2022 9 8 8 12 17
07/01/2022 14 17 15 19 25
08/01/2022 29 31 23 31 35
09/01/2022 45 47 40 54 62
10/01/2022 43 43 41 55 64
11/01/2022 29 33 29 41 55
12/01/2022 NA 24 25 33 41
13/01/2022 46 49 43 57 64
14/01/2022 88 79 79 91 95
15/01/2022 83 79 79 97 106
16/01/2022 47 53 48 57 73
17/01/2022 52 54 58 66 74
18/01/2022 41 40 39 51 59
19/01/2022 51 54 46 61 76
20/01/2022 63 64 57 65 71
21/01/2022 38 43 50 63 71
22/01/2022 73 71 67 81 86
23/01/2022 53 54 55 64 69
24/01/2022 65 73 72 73 88
25/01/2022 45 46 38 40 46
26/01/2022 74 79 77 77 78
27/01/2022 85 87 85 91 94
28/01/2022 80 81 79 87 87
29/01/2022 75 81 76 82 88
30/01/2022 60 62 52 65 77
31/01/2022 71 73 65 79 90
01/02/2022 62 61 59 63 67
02/02/2022 28 25 21 28 38
03/02/2022 26 24 22 32 35
04/02/2022 44 44 33 42 43
05/02/2022 68 68 63 71 79
06/02/2022 69 74 69 93 100
07/02/2022 37 34 38 42 48
08/02/2022 27 21 17 23 32
09/02/2022 38 39 33 48 64
10/02/2022 55 57 47 61 70
11/02/2022 80 76 69 88 100
12/02/2022 15 16 19 23 24
13/02/2022 21 19 15 21 24
14/02/2022 43 44 36 45 51
15/02/2022 41 40 34 40 46
16/02/2022 47 43 43 47 51
17/02/2022 57 58 52 54 68
18/02/2022 51 55 50 52 66
19/02/2022 77 82 77 90 108
20/02/2022 25 26 19 31 46
21/02/2022 40 41 35 NA 52
22/02/2022 26 24 20 NA 36
23/02/2022 27 25 22 NA 42
24/02/2022 36 37 29 NA 47
25/02/2022 31 30 30 NA 49
26/02/2022 9 10 10 NA 12
27/02/2022 10 13 14 NA 13
28/02/2022 24 24 23 NA 26
01/03/2022 21 21 14 NA 24
02/03/2022 43 45 36 NA 47
03/03/2022 51 50 46 NA 63
04/03/2022 40 35 38 NA 44
05/03/2022 24 23 23 26 25
06/03/2022 20 20 21 24 24
07/03/2022 52 29 27 39 33
08/03/2022 33 26 31 33 34
09/03/2022 64 66 57 57 61
10/03/2022 85 80 73 74 81
11/03/2022 31 26 29 38 39
12/03/2022 24 26 21 29 31
13/03/2022 35 35 30 42 47
14/03/2022 34 33 32 38 42
15/03/2022 42 40 33 43 50
16/03/2022 56 52 44 56 60
17/03/2022 53 49 52 56 56
18/03/2022 36 33 37 33 34
19/03/2022 27 27 25 29 27
20/03/2022 31 30 27 31 31
21/03/2022 36 26 23 28 29
22/03/2022 34 34 31 35 43
23/03/2022 45 42 43 43 47
24/03/2022 62 57 48 55 61
25/03/2022 66 53 52 57 64
26/03/2022 53 50 45 52 55
27/03/2022 53 48 44 54 56
28/03/2022 55 42 40 46 57
29/03/2022 45 43 37 41 45
30/03/2022 37 35 30 33 41
31/03/2022 20 23 20 23 27
01/04/2022 23 14 17 15 25
02/04/2022 12 10 8 11 11
03/04/2022 14 12 11 11 12
04/04/2022 17 16 11 16 21
05/04/2022 41 30 29 31 37
06/04/2022 25 23 15 28 35
07/04/2022 42 28 28 34 42
08/04/2022 39 37 32 32 44
09/04/2022 16 13 15 16 16
10/04/2022 15 9 8 9 9
11/04/2022 20 17 12 14 18
12/04/2022 26 24 18 20 26
13/04/2022 25 18 18 25 32
14/04/2022 51 42 34 34 43
15/04/2022 28 20 21 19 24
16/04/2022 23 23 20 18 22
17/04/2022 26 21 25 19 17
18/04/2022 20 18 14 12 12
19/04/2022 24 23 17 13 18
20/04/2022 21 11 15 12 12
21/04/2022 29 23 24 18 18
22/04/2022 13 16 12 9 14
23/04/2022 21 19 12 12 20
24/04/2022 13 10 6 9 13
25/04/2022 19 14 11 13 20
26/04/2022 16 NA 15 15 20
27/04/2022 16 7 10 10 10
28/04/2022 21 15 11 10 12
29/04/2022 25 20 16 14 13
30/04/2022 23 23 19 15 20
01/05/2022 21 26 22 18 19
02/05/2022 19 16 14 11 15
03/05/2022 26 20 14 16 17
04/05/2022 40 30 23 24 29
05/05/2022 23 27 27 21 35
06/05/2022 13 14 12 11 19
07/05/2022 16 20 10 13 21
08/05/2022 18 18 17 18 17
09/05/2022 26 24 23 20 21
10/05/2022 32 28 25 23 27
11/05/2022 39 36 30 33 38
12/05/2022 36 30 30 30 36
13/05/2022 30 27 32 27 37
14/05/2022 23 22 24 22 25
15/05/2022 24 18 14 14 20
16/05/2022 29 23 25 22 33
17/05/2022 22 15 17 15 30
18/05/2022 22 16 21 17 25
19/05/2022 23 9 15 16 14
20/05/2022 25 17 18 13 15
21/05/2022 24 22 19 18 24
22/05/2022 27 28 21 28 37
23/05/2022 24 25 22 24 40
24/05/2022 28 27 37 25 49
25/05/2022 28 30 27 23 29
26/05/2022 29 30 30 32 44
27/05/2022 37 36 31 29 35
28/05/2022 24 19 27 20 21
29/05/2022 9 8 8 6 6
30/05/2022 9 10 13 7 11
31/05/2022 16 14 13 12 15
01/06/2022 29 27 23 22 NA
02/06/2022 32 29 29 29 NA
03/06/2022 27 25 26 24 NA
04/06/2022 36 39 37 30 36
05/06/2022 24 24 21 20 20
06/06/2022 18 16 17 14 14
07/06/2022 12 19 20 16 16
08/06/2022 15 8 8 6 8
09/06/2022 10 10 11 7 8
10/06/2022 18 22 27 10 13
11/06/2022 22 16 15 14 16
12/06/2022 25 19 18 17 17
13/06/2022 16 20 27 21 20
14/06/2022 20 18 20 17 15
15/06/2022 13 21 18 18 18
16/06/2022 23 22 29 21 22
17/06/2022 28 23 20 22 22
18/06/2022 22 27 20 19 22
19/06/2022 28 20 19 20 21
20/06/2022 25 23 22 19 22
21/06/2022 NA 37 26 29 27
22/06/2022 29 29 28 24 26
23/06/2022 40 46 36 35 35
24/06/2022 39 33 33 25 25
25/06/2022 33 25 25 23 26
26/06/2022 29 39 31 23 30
27/06/2022 26 39 27 20 23
28/06/2022 44 56 71 40 44
29/06/2022 36 45 38 33 34
30/06/2022 41 34 32 27 32
01/07/2022 36 40 57 28 27
02/07/2022 34 25 37 22 21
03/07/2022 33 24 38 24 27
04/07/2022 33 38 56 22 22
05/07/2022 25 20 35 19 19
06/07/2022 24 15 21 12 15
07/07/2022 20 18 24 16 17
08/07/2022 17 2 11 10 9
09/07/2022 19 9 12 9 11
10/07/2022 23 13 13 12 30
11/07/2022 21 7 14 11 13
12/07/2022 24 6 12 9 14
13/07/2022 28 7 12 12 14
14/07/2022 28 8 13 12 17
15/07/2022 19 7 20 12 17
16/07/2022 28 8 26 18 20
17/07/2022 24 7 22 19 18
18/07/2022 24 17 20 17 18
19/07/2022 27 21 19 15 18
20/07/2022 31 29 27 23 25
21/07/2022 35 30 27 24 29
22/07/2022 48 42 44 31 35
23/07/2022 39 66 61 38 38
24/07/2022 27 24 21 21 18
25/07/2022 32 28 23 23 26
26/07/2022 22 22 28 17 16
27/07/2022 21 17 20 16 15
28/07/2022 27 21 19 19 16
29/07/2022 31 22 22 18 18
30/07/2022 20 14 15 12 13
31/07/2022 24 19 14 13 13
01/08/2022 24 20 34 17 21
02/08/2022 21 12 19 12 16
03/08/2022 22 15 15 13 11
04/08/2022 28 23 17 17 18
05/08/2022 28 21 18 20 21
06/08/2022 21 20 23 21 20
07/08/2022 10 37 13 11 11
08/08/2022 20 17 15 15 12
09/08/2022 23 20 21 18 15
10/08/2022 24 23 19 18 15
11/08/2022 22 18 16 15 13
12/08/2022 15 16 16 12 14
13/08/2022 14 16 12 9 11
14/08/2022 23 20 13 12 13
15/08/2022 22 21 24 16 20
16/08/2022 18 16 29 12 18
17/08/2022 27 28 51 23 51
18/08/2022 24 25 50 21 48
19/08/2022 16 11 16 9 11
20/08/2022 24 20 18 12 14
21/08/2022 19 15 13 12 14
22/08/2022 21 12 12 10 11
23/08/2022 21 9 12 11 17
24/08/2022 18 17 13 11 13
25/08/2022 25 21 20 19 18
26/08/2022 34 29 25 21 22
27/08/2022 24 28 24 22 22
