LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Venezia;1/2/2018;"7";"6";"8";"6";"97";"2";"11";"15";"0";"1007";"0";"0";"pioggia nebbia "
Venezia;2/2/2018;"6";"5";"7";"4";"88";"10";"18";"39";"0";"1004";"0";"0";"pioggia nebbia "
Venezia;3/2/2018;"4";"3";"6";"2";"85";"20";"26";"52";"0";"1002";"0";"0";"pioggia "
Venezia;4/2/2018;"6";"2";"8";"2";"77";"16";"9";"15";"0";"1016";"0";"0";""
Venezia;5/2/2018;"5";"3";"8";"1";"69";"19";"13";"22";"0";"1021";"0";"0";""
Venezia;6/2/2018;"5";"2";"8";"2";"65";"21";"19";"28";"0";"1015";"0";"0";"pioggia "
Venezia;7/2/2018;"6";"4";"7";"3";"81";"17";"19";"33";"0";"1007";"0";"0";"pioggia "
Venezia;8/2/2018;"7";"4";"9";"4";"83";"15";"7";"11";"0";"1013";"0";"0";""
Venezia;9/2/2018;"7";"4";"9";"5";"89";"13";"9";"15";"0";"1015";"0";"0";"nebbia "
Venezia;10/2/2018;"6";"2";"10";"2";"74";"15";"15";"22";"0";"1012";"0";"0";""
Venezia;11/2/2018;"5";"2";"7";"1";"62";"20";"13";"21";"0";"1011";"0";"0";""
Venezia;12/2/2018;"4";"2";"7";"2";"83";"14";"18";"37";"0";"1010";"0";"0";"pioggia "
Venezia;13/2/2018;"6";"3";"8";"0";"56";"20";"10";"21";"0";"1013";"0";"0";""
Venezia;14/2/2018;"3";"-1";"7";"1";"71";"20";"8";"15";"0";"1015";"0";"0";""
Venezia;15/2/2018;"3";"-1";"7";"1";"70";"20";"10";"17";"0";"1023";"0";"0";""
Venezia;16/2/2018;"3";"-1";"8";"1";"78";"10";"7";"13";"0";"1024";"0";"0";""
Venezia;17/2/2018;"5";"0";"8";"3";"75";"11";"8";"17";"0";"1022";"0";"0";"pioggia "
Venezia;18/2/2018;"6";"4";"7";"3";"75";"14";"25";"44";"0";"1019";"0";"0";"pioggia "
Venezia;19/2/2018;"5";"3";"7";"0";"59";"19";"24";"37";"0";"1017";"0";"0";""
Venezia;20/2/2018;"4";"0";"6";"0";"64";"21";"14";"21";"0";"1010";"0";"0";""
Venezia;21/2/2018;"4";"0";"8";"0";"68";"22";"16";"28";"0";"1009";"0";"0";""
Venezia;22/2/2018;"5";"4";"6";"1";"67";"21";"29";"48";"0";"1007";"0";"0";"pioggia "
Venezia;23/2/2018;"4";"2";"5";"1";"80";"19";"33";"39";"0";"1009";"0";"0";"pioggia "
Venezia;24/2/2018;"6";"2";"9";"1";"61";"20";"31";"44";"0";"1010";"0";"0";"pioggia "
Venezia;25/2/2018;"1";"0";"2";"0";"52";"19";"34";"44";"0";"1015";"0";"0";""
Venezia;26/2/2018;"-3";"-4";"-2";"0";"45";"20";"39";"52";"0";"1013";"0";"0";""
Venezia;27/2/2018;"-2";"-4";"-1";"0";"45";"21";"14";"30";"0";"1011";"0";"0";""
Venezia;28/2/2018;"-3";"-4";"-1";"0";"74";"13";"13";"21";"0";"1017";"0";"0";"neve "
