LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Venezia;1/5/2018;"17";"13";"19";"7";"53";"19";"9";"21";"0";"1012";"0";"0";""
Venezia;2/5/2018;"18";"12";"24";"12";"73";"20";"14";"24";"0";"1009";"0";"0";"pioggia "
Venezia;3/5/2018;"20";"17";"25";"15";"70";"18";"13";"21";"0";"1004";"0";"0";"pioggia temporale "
Venezia;4/5/2018;"18";"16";"23";"15";"83";"19";"19";"31";"0";"1010";"0";"0";"pioggia "
Venezia;5/5/2018;"20";"15";"25";"15";"72";"21";"13";"22";"0";"1015";"0";"0";""
Venezia;6/5/2018;"22";"17";"26";"15";"66";"20";"10";"28";"0";"1015";"0";"0";""
Venezia;7/5/2018;"21";"17";"26";"13";"58";"21";"11";"26";"0";"1014";"0";"0";""
Venezia;8/5/2018;"21";"17";"24";"12";"58";"21";"13";"21";"0";"1008";"0";"0";""
Venezia;9/5/2018;"19";"14";"22";"12";"66";"20";"14";"33";"0";"1006";"0";"0";""
Venezia;10/5/2018;"20";"16";"24";"13";"64";"20";"9";"21";"0";"1009";"0";"0";""
Venezia;11/5/2018;"21";"16";"25";"14";"66";"19";"11";"28";"0";"1014";"0";"0";""
Venezia;12/5/2018;"21";"16";"26";"15";"67";"20";"10";"15";"0";"1014";"0";"0";""
Venezia;13/5/2018;"20";"16";"24";"16";"78";"14";"11";"17";"0";"1010";"0";"0";"pioggia temporale "
Venezia;14/5/2018;"17";"15";"21";"12";"74";"20";"14";"24";"0";"1009";"0";"0";"pioggia temporale "
Venezia;15/5/2018;"15";"12";"18";"9";"71";"20";"14";"26";"0";"1010";"0";"0";"pioggia "
Venezia;16/5/2018;"15";"11";"18";"10";"73";"21";"10";"17";"0";"1013";"0";"0";""
Venezia;17/5/2018;"18";"13";"21";"13";"74";"21";"11";"17";"0";"1014";"0";"0";"pioggia temporale "
Venezia;18/5/2018;"18";"13";"22";"13";"76";"18";"10";"22";"0";"1016";"0";"0";"pioggia "
Venezia;19/5/2018;"19";"14";"24";"12";"64";"20";"10";"18";"0";"1016";"0";"0";""
Venezia;20/5/2018;"20";"14";"25";"12";"60";"20";"15";"24";"0";"1016";"0";"0";""
Venezia;21/5/2018;"21";"17";"26";"12";"55";"20";"15";"24";"0";"1014";"0";"0";""
Venezia;22/5/2018;"18";"16";"20";"15";"83";"16";"13";"21";"0";"1013";"0";"0";"pioggia "
Venezia;23/5/2018;"19";"16";"23";"16";"81";"19";"8";"13";"0";"1015";"0";"0";"pioggia "
Venezia;24/5/2018;"22";"18";"26";"16";"71";"19";"10";"24";"0";"1015";"0";"0";"pioggia "
Venezia;25/5/2018;"23";"17";"27";"16";"68";"20";"9";"13";"0";"1015";"0";"0";""
Venezia;26/5/2018;"23";"18";"26";"16";"67";"21";"10";"18";"0";"1018";"0";"0";""
Venezia;27/5/2018;"24";"19";"27";"18";"72";"17";"8";"15";"0";"1018";"0";"0";""
Venezia;28/5/2018;"24";"20";"27";"18";"70";"21";"9";"13";"0";"1017";"0";"0";""
Venezia;29/5/2018;"24";"21";"26";"18";"72";"19";"10";"21";"0";"1015";"0";"0";"pioggia temporale "
Venezia;30/5/2018;"24";"19";"28";"18";"68";"19";"10";"15";"0";"1014";"0";"0";""
Venezia;31/5/2018;"25";"20";"28";"19";"72";"18";"10";"21";"0";"1014";"0";"0";""
