LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Venezia;1/3/2018;"-2";"-4";"-1";"0";"79";"8";"16";"26";"0";"1013";"0";"0";"neve "
Venezia;2/3/2018;"0";"-1";"2";"1";"92";"2";"9";"15";"0";"998";"0";"0";"pioggia neve "
Venezia;3/3/2018;"2";"0";"4";"3";"95";"1";"11";"21";"0";"999";"0";"0";"pioggia nebbia "
Venezia;4/3/2018;"3";"0";"7";"3";"95";"3";"11";"21";"0";"1004";"0";"0";"nebbia "
Venezia;5/3/2018;"6";"2";"9";"4";"91";"5";"8";"18";"0";"999";"0";"0";"pioggia nebbia "
Venezia;6/3/2018;"6";"5";"7";"4";"90";"11";"8";"15";"0";"993";"0";"0";"pioggia "
Venezia;7/3/2018;"7";"6";"10";"6";"91";"7";"11";"18";"0";"1000";"0";"0";"pioggia "
Venezia;8/3/2018;"6";"3";"10";"4";"90";"7";"9";"17";"0";"1009";"0";"0";"nebbia "
Venezia;9/3/2018;"7";"3";"11";"6";"91";"7";"8";"15";"0";"1015";"0";"0";"nebbia "
Venezia;10/3/2018;"9";"6";"11";"7";"90";"14";"8";"13";"0";"1015";"0";"0";"pioggia nebbia "
Venezia;11/3/2018;"10";"9";"11";"9";"94";"5";"16";"24";"0";"1006";"0";"0";"pioggia "
Venezia;12/3/2018;"10";"8";"13";"9";"94";"10";"10";"18";"0";"1002";"0";"0";"pioggia nebbia "
Venezia;13/3/2018;"10";"7";"14";"8";"89";"10";"10";"15";"0";"1006";"0";"0";"nebbia "
Venezia;14/3/2018;"10";"7";"14";"8";"90";"9";"11";"15";"0";"1010";"0";"0";"nebbia "
Venezia;15/3/2018;"9";"7";"11";"8";"92";"7";"13";"24";"0";"1007";"0";"0";"pioggia nebbia "
Venezia;16/3/2018;"10";"7";"14";"8";"88";"15";"16";"31";"0";"1002";"0";"0";"pioggia "
Venezia;17/3/2018;"9";"7";"12";"8";"92";"12";"14";"24";"0";"996";"0";"0";"pioggia "
Venezia;18/3/2018;"7";"4";"10";"5";"83";"19";"29";"50";"0";"997";"0";"0";"pioggia "
Venezia;19/3/2018;"2";"0";"5";"1";"88";"15";"25";"42";"0";"1001";"0";"0";"pioggia neve "
Venezia;20/3/2018;"5";"2";"8";"1";"70";"19";"19";"39";"0";"1007";"0";"0";""
Venezia;21/3/2018;"6";"2";"9";"0";"51";"18";"22";"35";"0";"1017";"0";"0";""
Venezia;22/3/2018;"5";"0";"9";"0";"50";"21";"15";"28";"0";"1014";"0";"0";""
Venezia;23/3/2018;"6";"2";"10";"2";"58";"19";"11";"22";"0";"1004";"0";"0";""
Venezia;24/3/2018;"7";"2";"11";"1";"63";"18";"8";"13";"0";"1004";"0";"0";""
Venezia;25/3/2018;"8";"5";"11";"2";"62";"21";"9";"17";"0";"1008";"0";"0";""
Venezia;26/3/2018;"8";"3";"13";"4";"63";"19";"8";"15";"0";"1010";"0";"0";""
Venezia;27/3/2018;"11";"8";"14";"6";"70";"18";"12";"24";"0";"1013";"0";"0";"pioggia "
Venezia;28/3/2018;"10";"5";"13";"6";"78";"14";"11";"17";"0";"1011";"0";"0";""
Venezia;29/3/2018;"11";"9";"13";"9";"87";"11";"11";"18";"0";"1007";"0";"0";"pioggia "
Venezia;30/3/2018;"12";"9";"15";"10";"91";"11";"15";"28";"0";"1007";"0";"0";"nebbia "
Venezia;31/3/2018;"11";"9";"13";"9";"85";"18";"10";"18";"0";"998";"0";"0";"pioggia temporale "
