LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Venezia;1/8/2019;"28";"22";"30";"21";"67";"21";"10";"17";"0";"1013";"0";"0";""
Venezia;2/8/2019;"23";"20";"27";"20";"82";"19";"16";"26";"0";"1010";"0";"0";"pioggia temporale "
Venezia;3/8/2019;"24";"18";"28";"18";"70";"19";"10";"17";"0";"1011";"0";"0";""
Venezia;4/8/2019;"24";"19";"27";"17";"66";"19";"10";"26";"0";"1014";"0";"0";""
Venezia;5/8/2019;"25";"21";"28";"19";"69";"21";"9";"13";"0";"1015";"0";"0";""
Venezia;6/8/2019;"25";"20";"28";"20";"75";"22";"11";"37";"0";"1014";"0";"0";"pioggia temporale "
Venezia;7/8/2019;"24";"19";"28";"20";"81";"19";"10";"17";"0";"1011";"0";"0";"pioggia temporale "
Venezia;8/8/2019;"25";"21";"29";"21";"77";"20";"10";"28";"0";"1010";"0";"0";"pioggia temporale "
Venezia;9/8/2019;"26";"21";"30";"21";"73";"21";"9";"11";"0";"1014";"0";"0";""
Venezia;10/8/2019;"27";"24";"29";"23";"78";"18";"8";"15";"0";"1014";"0";"0";""
Venezia;11/8/2019;"28";"24";"31";"22";"73";"18";"9";"15";"0";"1014";"0";"0";""
Venezia;12/8/2019;"27";"23";"32";"22";"73";"22";"10";"30";"0";"1012";"0";"0";"pioggia "
Venezia;13/8/2019;"26";"21";"31";"19";"68";"20";"9";"24";"0";"1010";"0";"0";"pioggia temporale "
Venezia;14/8/2019;"23";"20";"26";"15";"62";"20";"20";"30";"0";"1013";"0";"0";"pioggia temporale "
Venezia;15/8/2019;"23";"19";"26";"14";"57";"21";"12";"22";"0";"1015";"0";"0";""
Venezia;16/8/2019;"22";"16";"27";"15";"64";"18";"11";"44";"0";"1016";"0";"0";"pioggia temporale "
Venezia;17/8/2019;"23";"18";"27";"16";"68";"19";"8";"15";"0";"1016";"0";"0";""
Venezia;18/8/2019;"24";"20";"27";"19";"75";"18";"8";"11";"0";"1015";"0";"0";"nebbia "
Venezia;19/8/2019;"25";"21";"28";"20";"75";"18";"7";"11";"0";"1015";"0";"0";""
Venezia;20/8/2019;"26";"21";"31";"20";"72";"19";"9";"13";"0";"1016";"0";"0";""
Venezia;21/8/2019;"25";"21";"31";"19";"69";"19";"13";"35";"0";"1017";"0";"0";""
Venezia;22/8/2019;"24";"21";"27";"17";"65";"22";"10";"21";"0";"1020";"0";"0";"pioggia "
Venezia;23/8/2019;"24";"21";"27";"20";"77";"20";"11";"21";"0";"1020";"0";"0";"pioggia "
Venezia;24/8/2019;"25";"22";"30";"19";"68";"18";"13";"37";"0";"1018";"0";"0";"pioggia temporale "
Venezia;25/8/2019;"25";"20";"30";"19";"69";"19";"8";"17";"0";"1017";"0";"0";"pioggia temporale "
Venezia;26/8/2019;"26";"22";"30";"19";"68";"19";"11";"17";"0";"1017";"0";"0";""
Venezia;27/8/2019;"26";"21";"30";"19";"69";"22";"9";"13";"0";"1017";"0";"0";""
Venezia;28/8/2019;"26";"22";"30";"20";"69";"19";"9";"15";"0";"1016";"0";"0";""
Venezia;29/8/2019;"26";"21";"30";"21";"74";"18";"6";"11";"0";"1016";"0";"0";""
Venezia;30/8/2019;"27";"23";"31";"19";"61";"18";"12";"22";"0";"1018";"0";"0";""
Venezia;31/8/2019;"27";"23";"31";"18";"59";"20";"11";"17";"0";"1015";"0";"0";""
