LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Venezia;1/11/2019;"10";"6";"13";"4";"66";"20";"8";"18";"0";"1018";"0";"0";""
Venezia;2/11/2019;"10";"10";"11";"8";"84";"11";"10";"15";"0";"1009";"0";"0";"pioggia "
Venezia;3/11/2019;"14";"11";"17";"13";"95";"13";"10";"21";"0";"995";"0";"0";"pioggia "
Venezia;4/11/2019;"13";"11";"15";"11";"91";"15";"12";"22";"0";"997";"0";"0";""
Venezia;5/11/2019;"14";"13";"16";"13";"93";"17";"10";"17";"0";"997";"0";"0";"pioggia nebbia "
Venezia;6/11/2019;"12";"8";"14";"10";"88";"17";"9";"15";"0";"1002";"0";"0";"pioggia nebbia "
Venezia;7/11/2019;"11";"7";"14";"8";"85";"19";"7";"18";"0";"1007";"0";"0";""
Venezia;8/11/2019;"11";"10";"12";"9";"91";"18";"16";"24";"0";"1004";"0";"0";"pioggia "
Venezia;9/11/2019;"10";"7";"13";"8";"87";"19";"11";"17";"0";"1008";"0";"0";"pioggia "
Venezia;10/11/2019;"9";"5";"14";"5";"78";"20";"7";"13";"0";"1010";"0";"0";""
Venezia;11/11/2019;"9";"6";"10";"6";"86";"18";"16";"21";"0";"1013";"0";"0";"pioggia "
Venezia;12/11/2019;"11";"10";"13";"9";"90";"16";"28";"70";"0";"1000";"0";"0";"pioggia temporale "
Venezia;13/11/2019;"10";"7";"11";"8";"91";"18";"11";"22";"0";"998";"0";"0";"pioggia "
Venezia;14/11/2019;"9";"5";"13";"6";"80";"18";"14";"21";"0";"1008";"0";"0";"pioggia "
Venezia;15/11/2019;"13";"9";"16";"10";"87";"15";"20";"30";"0";"1004";"0";"0";"pioggia "
Venezia;16/11/2019;"11";"8";"13";"9";"90";"16";"10";"22";"0";"1011";"0";"0";"pioggia nebbia "
Venezia;17/11/2019;"13";"10";"16";"10";"85";"18";"16";"33";"0";"1004";"0";"0";"pioggia temporale "
Venezia;18/11/2019;"9";"5";"14";"7";"83";"21";"11";"31";"0";"1013";"0";"0";"pioggia "
Venezia;19/11/2019;"11";"9";"12";"9";"90";"20";"21";"28";"0";"1015";"0";"0";"pioggia "
Venezia;20/11/2019;"11";"9";"15";"9";"84";"18";"9";"17";"0";"1012";"0";"0";"nebbia "
Venezia;21/11/2019;"10";"9";"11";"9";"94";"3";"5";"11";"0";"1012";"0";"0";"nebbia "
Venezia;22/11/2019;"11";"8";"14";"9";"91";"12";"13";"18";"0";"1013";"0";"0";"pioggia nebbia "
Venezia;23/11/2019;"12";"10";"15";"11";"93";"18";"17";"24";"0";"1009";"0";"0";"pioggia "
Venezia;24/11/2019;"14";"13";"15";"12";"88";"19";"21";"30";"0";"1007";"0";"0";"pioggia temporale "
Venezia;25/11/2019;"14";"9";"19";"9";"74";"20";"11";"18";"0";"1008";"0";"0";""
Venezia;26/11/2019;"10";"7";"14";"7";"80";"21";"9";"15";"0";"1009";"0";"0";""
Venezia;27/11/2019;"10";"7";"11";"8";"90";"15";"10";"17";"0";"1005";"0";"0";"pioggia nebbia "
Venezia;28/11/2019;"11";"9";"11";"9";"92";"6";"8";"17";"0";"1004";"0";"0";""
Venezia;29/11/2019;"10";"7";"12";"9";"92";"5";"6";"11";"0";"1009";"0";"0";""
Venezia;30/11/2019;"8";"7";"10";"7";"90";"6";"9";"18";"0";"1018";"0";"0";"nebbia "
