LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Venezia;1/4/2021;"15";"10";"19";"11";"77";"13";"8";"15";"0";"1017";"0";"0";""
Venezia;2/4/2021;"15";"10";"20";"11";"80";"15";"11";"13";"0";"1012";"0";"0";""
Venezia;3/4/2021;"14";"12";"17";"8";"68";"17";"19";"39";"0";"1012";"0";"0";""
Venezia;4/4/2021;"12";"10";"13";"1";"42";"21";"19";"26";"0";"1018";"0";"0";""
Venezia;5/4/2021;"10";"6";"14";"4";"58";"19";"13";"24";"0";"1013";"0";"0";""
Venezia;6/4/2021;"8";"4";"12";"5";"70";"20";"23";"55";"0";"1004";"0";"0";"pioggia "
Venezia;7/4/2021;"6";"1";"12";"1";"57";"19";"10";"22";"0";"1014";"0";"0";""
Venezia;8/4/2021;"7";"0";"12";"3";"56";"19";"12";"22";"0";"1023";"0";"0";""
Venezia;9/4/2021;"9";"4";"14";"5";"64";"21";"15";"21";"0";"1026";"0";"0";""
Venezia;10/4/2021;"12";"7";"16";"7";"74";"20";"10";"17";"0";"1022";"0";"0";""
Venezia;11/4/2021;"10";"10";"12";"9";"94";"13";"14";"22";"0";"1019";"0";"0";"pioggia "
Venezia;12/4/2021;"12";"10";"13";"11";"97";"10";"13";"24";"0";"1016";"0";"0";"pioggia "
Venezia;13/4/2021;"8";"6";"12";"5";"78";"18";"21";"42";"0";"1019";"0";"0";"pioggia "
Venezia;14/4/2021;"9";"5";"13";"4";"65";"21";"9";"15";"0";"1022";"0";"0";""
Venezia;15/4/2021;"9";"5";"12";"3";"59";"19";"10";"28";"0";"1022";"0";"0";"pioggia "
Venezia;16/4/2021;"9";"4";"13";"2";"60";"20";"10";"17";"0";"1020";"0";"0";""
Venezia;17/4/2021;"10";"4";"15";"1";"54";"20";"14";"21";"0";"1016";"0";"0";""
Venezia;18/4/2021;"11";"8";"15";"3";"56";"19";"12";"21";"0";"1016";"0";"0";""
Venezia;19/4/2021;"11";"7";"15";"5";"67";"20";"10";"18";"0";"1015";"0";"0";""
Venezia;20/4/2021;"12";"7";"16";"7";"73";"19";"11";"21";"0";"1015";"0";"0";""
Venezia;21/4/2021;"13";"9";"16";"9";"77";"19";"12";"18";"0";"1017";"0";"0";""
Venezia;22/4/2021;"13";"10";"16";"10";"83";"20";"12";"17";"0";"1019";"0";"0";""
Venezia;23/4/2021;"15";"10";"18";"10";"76";"16";"8";"15";"0";"1022";"0";"0";"nebbia "
Venezia;24/4/2021;"15";"9";"19";"8";"66";"17";"10";"17";"0";"1022";"0";"0";""
Venezia;25/4/2021;"16";"9";"20";"10";"68";"20";"10";"18";"0";"1016";"0";"0";""
Venezia;26/4/2021;"14";"11";"17";"7";"65";"19";"16";"28";"0";"1014";"0";"0";"pioggia "
Venezia;27/4/2021;"13";"10";"15";"8";"74";"20";"12";"18";"0";"1009";"0";"0";"pioggia "
Venezia;28/4/2021;"13";"9";"17";"8";"70";"18";"11";"17";"0";"1009";"0";"0";""
Venezia;29/4/2021;"15";"14";"17";"13";"89";"17";"9";"18";"0";"1009";"0";"0";"pioggia "
Venezia;30/4/2021;"16";"13";"19";"14";"86";"13";"13";"22";"0";"1010";"0";"0";"pioggia "
