LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Venezia;1/1/2021;"5";"2";"7";"4";"91";"13";"12";"22";"0";"1010";"0";"0";"pioggia "
Venezia;2/1/2021;"7";"6";"8";"6";"91";"19";"26";"35";"0";"1007";"0";"0";"pioggia "
Venezia;3/1/2021;"7";"4";"10";"5";"90";"21";"12";"17";"0";"1009";"0";"0";""
Venezia;4/1/2021;"6";"4";"8";"4";"90";"20";"9";"17";"0";"1010";"0";"0";"pioggia "
Venezia;5/1/2021;"5";"3";"7";"4";"91";"16";"14";"18";"0";"1009";"0";"0";"pioggia "
Venezia;6/1/2021;"4";"2";"7";"3";"93";"20";"9";"18";"0";"1009";"0";"0";""
Venezia;7/1/2021;"2";"0";"3";"2";"98";"2";"5";"9";"0";"1014";"0";"0";"nebbia "
Venezia;8/1/2021;"3";"0";"8";"2";"81";"13";"9";"15";"0";"1013";"0";"0";"nebbia "
Venezia;9/1/2021;"3";"0";"6";"0";"65";"19";"16";"22";"0";"1018";"0";"0";""
Venezia;10/1/2021;"3";"0";"5";"0";"64";"19";"21";"28";"0";"1017";"0";"0";""
Venezia;11/1/2021;"2";"-1";"6";"0";"62";"20";"14";"24";"0";"1019";"0";"0";""
Venezia;12/1/2021;"0";"-3";"3";"0";"72";"19";"6";"11";"0";"1015";"0";"0";""
Venezia;13/1/2021;"1";"-4";"7";"0";"78";"17";"6";"9";"0";"1013";"0";"0";""
Venezia;14/1/2021;;;;;;;;;;;;;
Venezia;15/1/2021;"3";"-1";"6";"0";"60";"22";"13";"18";"0";"1018";"0";"0";""
Venezia;16/1/2021;"1";"-3";"6";"0";"70";"19";"8";"13";"0";"1021";"0";"0";""
Venezia;17/1/2021;"1";"-2";"4";"0";"74";"21";"9";"11";"0";"1016";"0";"0";""
Venezia;18/1/2021;"1";"-2";"5";"0";"70";"18";"8";"15";"0";"1023";"0";"0";""
Venezia;19/1/2021;"0";"-4";"5";"0";"84";"13";"5";"9";"0";"1024";"0";"0";""
Venezia;20/1/2021;"2";"-1";"4";"1";"83";"6";"6";"11";"0";"1021";"0";"0";"pioggia "
Venezia;21/1/2021;"4";"-1";"8";"4";"89";"7";"8";"13";"0";"1015";"0";"0";"pioggia "
Venezia;22/1/2021;"7";"5";"11";"7";"98";"3";"12";"28";"0";"1003";"0";"0";"pioggia nebbia "
Venezia;23/1/2021;"8";"4";"10";"6";"88";"19";"11";"22";"0";"994";"0";"0";"pioggia "
Venezia;24/1/2021;"5";"2";"9";"3";"89";"13";"11";"17";"0";"997";"0";"0";""
Venezia;25/1/2021;"4";"0";"8";"1";"75";"19";"12";"21";"0";"1001";"0";"0";""
Venezia;26/1/2021;"3";"-1";"8";"2";"72";"21";"9";"17";"0";"1014";"0";"0";""
Venezia;27/1/2021;"1";"-3";"4";"0";"79";"19";"6";"13";"0";"1017";"0";"0";""
Venezia;28/1/2021;"1";"-3";"5";"0";"78";"19";"5";"13";"0";"1013";"0";"0";""
Venezia;29/1/2021;"2";"-2";"7";"0";"79";"15";"8";"13";"0";"1006";"0";"0";""
Venezia;30/1/2021;"3";"-2";"7";"3";"89";"5";"9";"22";"0";"1001";"0";"0";"pioggia "
Venezia;31/1/2021;"6";"2";"8";"5";"86";"16";"24";"37";"0";"996";"0";"0";"pioggia "
