LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Venezia;1/7/2021;"24";"18";"29";"14";"54";"19";"12";"22";"0";"1010";"0";"0";"pioggia temporale "
Venezia;2/7/2021;"24";"20";"28";"15";"60";"21";"11";"18";"0";"1013";"0";"0";"pioggia "
Venezia;3/7/2021;"25";"20";"28";"17";"64";"21";"11";"17";"0";"1014";"0";"0";"pioggia "
Venezia;4/7/2021;"22";"19";"25";"19";"82";"17";"11";"22";"0";"1010";"0";"0";"pioggia "
Venezia;5/7/2021;"23";"18";"28";"17";"72";"16";"9";"15";"0";"1011";"0";"0";"nebbia "
Venezia;6/7/2021;"25";"19";"29";"17";"64";"20";"8";"13";"0";"1013";"0";"0";""
Venezia;7/7/2021;"26";"21";"29";"21";"73";"20";"9";"15";"0";"1013";"0";"0";""
Venezia;8/7/2021;"26";"21";"31";"20";"71";"19";"13";"24";"0";"1014";"0";"0";"pioggia temporale "
Venezia;9/7/2021;"24";"19";"29";"16";"66";"19";"10";"21";"0";"1015";"0";"0";""
Venezia;10/7/2021;"26";"21";"30";"17";"59";"19";"10";"18";"0";"1015";"0";"0";""
Venezia;11/7/2021;"27";"21";"31";"17";"57";"20";"10";"17";"0";"1011";"0";"0";""
Venezia;12/7/2021;"26";"21";"29";"20";"69";"21";"12";"17";"0";"1012";"0";"0";""
Venezia;13/7/2021;"25";"22";"28";"21";"79";"19";"18";"42";"0";"1008";"0";"0";"pioggia temporale "
Venezia;14/7/2021;"23";"18";"26";"14";"56";"21";"13";"28";"0";"1010";"0";"0";""
Venezia;15/7/2021;"23";"18";"26";"14";"61";"20";"8";"13";"0";"1013";"0";"0";""
Venezia;16/7/2021;"22";"19";"25";"16";"72";"20";"11";"17";"0";"1013";"0";"0";"pioggia "
Venezia;17/7/2021;"24";"20";"28";"16";"64";"19";"11";"18";"0";"1010";"0";"0";"pioggia "
Venezia;18/7/2021;"26";"21";"34";"17";"62";"19";"10";"33";"0";"1009";"0";"0";"pioggia "
Venezia;19/7/2021;"27";"22";"31";"17";"57";"20";"10";"17";"0";"1011";"0";"0";""
Venezia;20/7/2021;"26";"21";"29";"19";"67";"19";"11";"18";"0";"1013";"0";"0";"pioggia "
Venezia;21/7/2021;"25";"21";"29";"19";"68";"22";"11";"18";"0";"1017";"0";"0";""
Venezia;22/7/2021;"25";"22";"28";"19";"68";"19";"11";"17";"0";"1018";"0";"0";"pioggia temporale "
Venezia;23/7/2021;"25";"20";"29";"18";"69";"20";"10";"15";"0";"1014";"0";"0";"pioggia "
Venezia;24/7/2021;"26";"21";"29";"19";"69";"21";"10";"15";"0";"1012";"0";"0";""
Venezia;25/7/2021;"26";"21";"29";"22";"79";"20";"16";"24";"0";"1010";"0";"0";""
Venezia;26/7/2021;"25";"22";"30";"20";"75";"19";"14";"24";"0";"1012";"0";"0";"pioggia temporale "
Venezia;27/7/2021;"23";"20";"29";"19";"81";"19";"12";"31";"0";"1015";"0";"0";"pioggia "
Venezia;28/7/2021;"24";"19";"28";"20";"78";"21";"9";"15";"0";"1013";"0";"0";"pioggia temporale "
Venezia;29/7/2021;"25";"20";"30";"20";"73";"21";"8";"13";"0";"1013";"0";"0";""
Venezia;30/7/2021;"27";"22";"30";"21";"70";"18";"9";"13";"0";"1010";"0";"0";""
Venezia;31/7/2021;"26";"21";"31";"20";"71";"21";"12";"17";"0";"1008";"0";"0";"pioggia "
