LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Venezia;1/12/2022;"7";"4";"10";"2";"68";"21";"14";"28";"0";"1018";"0";"0";""
Venezia;2/12/2022;"7";"6";"8";"4";"87";"18";"17";"24";"0";"1019";"0";"0";"pioggia "
Venezia;3/12/2022;"7";"6";"8";"6";"88";"19";"19";"26";"0";"1017";"0";"0";"pioggia "
Venezia;4/12/2022;"8";"7";"9";"7";"91";"18";"20";"35";"0";"1014";"0";"0";"pioggia "
Venezia;5/12/2022;"10";"7";"12";"9";"93";"15";"10";"18";"0";"1017";"0";"0";"pioggia nebbia "
Venezia;6/12/2022;"7";"5";"8";"6";"95";"3";"7";"15";"0";"1015";"0";"0";"nebbia "
Venezia;7/12/2022;"6";"1";"11";"3";"83";"14";"8";"15";"0";"1013";"0";"0";"nebbia "
Venezia;8/12/2022;"5";"2";"9";"2";"75";"20";"9";"17";"0";"1011";"0";"0";"pioggia "
Venezia;9/12/2022;"6";"5";"7";"5";"94";"12";"11";"18";"0";"1003";"0";"0";"pioggia "
Venezia;10/12/2022;"7";"6";"9";"7";"96";"7";"7";"13";"0";"998";"0";"0";"pioggia nebbia "
Venezia;11/12/2022;"5";"3";"8";"3";"90";"18";"18";"33";"0";"1001";"0";"0";"pioggia "
Venezia;12/12/2022;"2";"-1";"5";"1";"79";"21";"10";"15";"0";"1009";"0";"0";""
Venezia;13/12/2022;"2";"0";"4";"0";"62";"21";"14";"18";"0";"1010";"0";"0";""
Venezia;14/12/2022;"4";"3";"6";"2";"71";"19";"6";"11";"0";"1006";"0";"0";""
Venezia;15/12/2022;"5";"4";"8";"3";"88";"14";"13";"26";"0";"1006";"0";"0";"pioggia "
Venezia;16/12/2022;"7";"6";"8";"7";"96";"4";"8";"18";"0";"1004";"0";"0";"pioggia nebbia "
Venezia;17/12/2022;"7";"5";"10";"5";"86";"14";"13";"22";"0";"1017";"0";"0";"pioggia nebbia "
Venezia;18/12/2022;"4";"0";"8";"1";"71";"20";"10";"17";"0";"1032";"0";"0";""
Venezia;19/12/2022;"3";"0";"6";"0";"73";"21";"7";"11";"0";"1034";"0";"0";""
Venezia;20/12/2022;"4";"1";"6";"1";"79";"15";"4";"8";"0";"1029";"0";"0";""
Venezia;21/12/2022;"5";"4";"6";"2";"81";"11";"4";"8";"0";"1022";"0";"0";""
Venezia;22/12/2022;"6";"5";"8";"4";"86";"5";"4";"8";"0";"1017";"0";"0";""
Venezia;23/12/2022;"7";"5";"9";"5";"90";"4";"5";"9";"0";"1016";"0";"0";""
Venezia;24/12/2022;"7";"5";"9";"6";"90";"4";"5";"9";"0";"1018";"0";"0";"nebbia "
Venezia;25/12/2022;"9";"6";"12";"7";"87";"7";"5";"9";"0";"1023";"0";"0";""
Venezia;26/12/2022;"9";"7";"10";"8";"91";"3";"4";"8";"0";"1025";"0";"0";""
Venezia;27/12/2022;"9";"6";"11";"7";"91";"3";"5";"9";"0";"1025";"0";"0";"nebbia "
Venezia;28/12/2022;"9";"7";"11";"6";"81";"16";"7";"13";"0";"1026";"0";"0";""
Venezia;29/12/2022;"8";"6";"10";"6";"88";"16";"5";"8";"0";"1022";"0";"0";"pioggia "
Venezia;30/12/2022;"8";"7";"11";"8";"93";"9";"6";"11";"0";"1022";"0";"0";"pioggia "
Venezia;31/12/2022;"8";"6";"10";"7";"93";"10";"4";"5";"0";"1030";"0";"0";"nebbia "
