LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Venezia;1/6/2022;"22";"18";"24";"18";"80";"20";"10";"15";"0";"1015";"0";"0";""
Venezia;2/6/2022;"23";"18";"26";"19";"79";"15";"9";"13";"0";"1016";"0";"0";"nebbia "
Venezia;3/6/2022;"23";"19";"27";"18";"77";"20";"10";"15";"0";"1018";"0";"0";"pioggia "
Venezia;4/6/2022;"23";"19";"27";"20";"83";"10";"9";"18";"0";"1017";"0";"0";"nebbia "
Venezia;5/6/2022;"25";"21";"28";"18";"68";"20";"10";"18";"0";"1014";"0";"0";"pioggia temporale "
Venezia;6/6/2022;"24";"17";"29";"15";"59";"20";"8";"13";"0";"1014";"0";"0";""
Venezia;7/6/2022;"22";"19";"28";"16";"71";"20";"12";"22";"0";"1011";"0";"0";"pioggia "
Venezia;8/6/2022;"22";"16";"25";"14";"63";"20";"10";"17";"0";"1009";"0";"0";"pioggia "
Venezia;9/6/2022;"19";"17";"21";"14";"76";"21";"12";"24";"0";"1007";"0";"0";"pioggia "
Venezia;10/6/2022;"23";"17";"29";"13";"57";"23";"7";"11";"0";"1014";"0";"0";""
Venezia;11/6/2022;"24";"18";"28";"15";"57";"21";"8";"13";"0";"1018";"0";"0";""
Venezia;12/6/2022;"25";"19";"29";"15";"57";"20";"10";"18";"0";"1019";"0";"0";""
Venezia;13/6/2022;"24";"19";"27";"17";"66";"20";"10";"17";"0";"1015";"0";"0";""
Venezia;14/6/2022;"24";"20";"27";"15";"59";"20";"14";"21";"0";"1017";"0";"0";""
Venezia;15/6/2022;"24";"19";"27";"16";"65";"20";"10";"18";"0";"1018";"0";"0";"pioggia "
Venezia;16/6/2022;"24";"19";"28";"18";"67";"21";"9";"17";"0";"1016";"0";"0";""
Venezia;17/6/2022;"26";"21";"30";"17";"61";"19";"10";"15";"0";"1018";"0";"0";"pioggia temporale "
Venezia;18/6/2022;"25";"21";"30";"16";"59";"19";"11";"17";"0";"1020";"0";"0";""
Venezia;19/6/2022;"25";"21";"29";"16";"58";"19";"11";"22";"0";"1016";"0";"0";""
Venezia;20/6/2022;"25";"19";"28";"19";"72";"21";"12";"24";"0";"1012";"0";"0";""
Venezia;21/6/2022;"26";"22";"29";"19";"67";"19";"12";"18";"0";"1011";"0";"0";""
Venezia;22/6/2022;"25";"21";"29";"19";"69";"21";"10";"22";"0";"1011";"0";"0";"pioggia "
Venezia;23/6/2022;"26";"20";"30";"21";"75";"19";"10";"18";"0";"1011";"0";"0";""
Venezia;24/6/2022;"25";"20";"30";"19";"71";"21";"14";"26";"0";"1010";"0";"0";"pioggia "
Venezia;25/6/2022;"26";"19";"30";"17";"59";"21";"13";"24";"0";"1011";"0";"0";""
Venezia;26/6/2022;"25";"21";"28";"20";"77";"16";"11";"17";"0";"1014";"0";"0";""
Venezia;27/6/2022;"27";"21";"31";"18";"62";"20";"12";"18";"0";"1014";"0";"0";""
Venezia;28/6/2022;"26";"21";"31";"19";"64";"21";"14";"28";"0";"1013";"0";"0";"pioggia "
Venezia;29/6/2022;"25";"23";"28";"20";"73";"19";"13";"22";"0";"1010";"0";"0";"pioggia temporale "
Venezia;30/6/2022;"26";"21";"29";"21";"74";"20";"9";"15";"0";"1011";"0";"0";""
