LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Venezia;1/10/2022;"18";"13";"21";"13";"76";"19";"16";"30";"0";"1014";"0";"0";"pioggia "
Venezia;2/10/2022;"17";"12";"21";"14";"83";"19";"7";"13";"0";"1018";"0";"0";""
Venezia;3/10/2022;"18";"14";"22";"15";"82";"14";"8";"13";"0";"1018";"0";"0";""
Venezia;4/10/2022;"16";"13";"21";"14";"85";"19";"9";"15";"0";"1022";"0";"0";""
Venezia;5/10/2022;"17";"15";"20";"15";"85";"20";"7";"11";"0";"1026";"0";"0";""
Venezia;6/10/2022;"19";"16";"22";"16";"84";"19";"7";"9";"0";"1027";"0";"0";""
Venezia;7/10/2022;"19";"14";"24";"13";"73";"20";"9";"13";"0";"1024";"0";"0";""
Venezia;8/10/2022;"17";"13";"22";"14";"83";"18";"8";"11";"0";"1019";"0";"0";""
Venezia;9/10/2022;"17";"14";"23";"13";"79";"13";"12";"18";"0";"1021";"0";"0";"nebbia "
Venezia;10/10/2022;"17";"14";"21";"11";"68";"20";"10";"17";"0";"1020";"0";"0";""
Venezia;11/10/2022;"17";"12";"22";"12";"73";"20";"6";"9";"0";"1021";"0";"0";""
Venezia;12/10/2022;"17";"14";"21";"12";"71";"21";"10";"17";"0";"1021";"0";"0";""
Venezia;13/10/2022;"17";"13";"21";"12";"73";"20";"9";"13";"0";"1020";"0";"0";""
Venezia;14/10/2022;"16";"12";"21";"11";"74";"13";"7";"11";"0";"1017";"0";"0";""
Venezia;15/10/2022;"17";"13";"21";"12";"75";"12";"7";"9";"0";"1016";"0";"0";""
Venezia;16/10/2022;"18";"15";"21";"15";"85";"11";"7";"13";"0";"1022";"0";"0";"nebbia "
Venezia;17/10/2022;"17";"13";"22";"15";"89";"3";"7";"15";"0";"1028";"0";"0";"nebbia "
Venezia;18/10/2022;"15";"12";"19";"14";"93";"2";"5";"11";"0";"1026";"0";"0";"nebbia "
Venezia;19/10/2022;"17";"11";"23";"14";"85";"4";"6";"9";"0";"1021";"0";"0";"nebbia "
Venezia;20/10/2022;"17";"13";"21";"14";"82";"16";"8";"11";"0";"1022";"0";"0";""
Venezia;21/10/2022;"17";"14";"20";"14";"85";"13";"9";"17";"0";"1020";"0";"0";"pioggia "
Venezia;22/10/2022;"18";"15";"22";"16";"88";"14";"8";"17";"0";"1017";"0";"0";"pioggia nebbia "
Venezia;23/10/2022;"17";"14";"21";"15";"87";"18";"8";"11";"0";"1021";"0";"0";"nebbia "
Venezia;24/10/2022;"19";"17";"22";"18";"92";"8";"10";"15";"0";"1019";"0";"0";"nebbia "
Venezia;25/10/2022;"18";"15";"22";"15";"86";"18";"9";"18";"0";"1019";"0";"0";"pioggia "
Venezia;26/10/2022;"17";"13";"20";"15";"87";"17";"6";"11";"0";"1022";"0";"0";"nebbia "
Venezia;27/10/2022;"17";"12";"22";"15";"87";"11";"6";"9";"0";"1026";"0";"0";"nebbia "
Venezia;28/10/2022;"17";"12";"22";"14";"83";"16";"6";"11";"0";"1027";"0";"0";"nebbia "
Venezia;29/10/2022;"16";"11";"21";"13";"88";"15";"5";"8";"0";"1025";"0";"0";""
Venezia;30/10/2022;"15";"11";"21";"14";"91";"6";"4";"8";"0";"1022";"0";"0";"nebbia "
Venezia;31/10/2022;"16";"11";"22";"14";"87";"4";"5";"9";"0";"1021";"0";"0";""
