LOCALITA;DATA;TMEDIA °C;TMIN °C;TMAX °C;PUNTORUGIADA °C;UMIDITA %;VISIBILITA km;VENTOMEDIA km/h;VENTOMAX km/h;RAFFICA km/h;PRESSIONESLM mb;PRESSIONEMEDIA mb;PIOGGIA mm;FENOMENI
Venezia;1/9/2022;"23";"20";"25";"15";"62";"21";"21";"31";"0";"1013";"0";"0";""
Venezia;2/9/2022;"22";"17";"26";"13";"58";"21";"10";"17";"0";"1015";"0";"0";""
Venezia;3/9/2022;"21";"16";"25";"14";"66";"19";"10";"15";"0";"1015";"0";"0";""
Venezia;4/9/2022;"23";"18";"26";"17";"74";"21";"10";"13";"0";"1018";"0";"0";""
Venezia;5/9/2022;"23";"18";"28";"18";"72";"21";"10";"13";"0";"1021";"0";"0";""
Venezia;6/9/2022;"24";"19";"27";"19";"77";"21";"9";"17";"0";"1018";"0";"0";""
Venezia;7/9/2022;"24";"21";"27";"20";"80";"20";"12";"17";"0";"1016";"0";"0";""
Venezia;8/9/2022;"23";"20";"27";"19";"79";"20";"15";"24";"0";"1011";"0";"0";"pioggia temporale "
Venezia;9/9/2022;"22";"19";"25";"18";"77";"19";"15";"24";"0";"1011";"0";"0";""
Venezia;10/9/2022;"22";"17";"27";"14";"65";"20";"9";"15";"0";"1013";"0";"0";""
Venezia;11/9/2022;"21";"16";"25";"15";"69";"20";"10";"26";"0";"1014";"0";"0";"pioggia temporale "
Venezia;12/9/2022;"22";"16";"26";"15";"68";"21";"10";"13";"0";"1015";"0";"0";""
Venezia;13/9/2022;"23";"17";"26";"18";"74";"20";"9";"17";"0";"1013";"0";"0";""
Venezia;14/9/2022;"24";"19";"28";"19";"76";"20";"10";"15";"0";"1010";"0";"0";""
Venezia;15/9/2022;"25";"21";"29";"19";"70";"22";"16";"30";"0";"1006";"0";"0";""
Venezia;16/9/2022;"22";"17";"26";"17";"77";"19";"15";"33";"0";"1003";"0";"0";"pioggia temporale "
Venezia;17/9/2022;"15";"13";"18";"11";"78";"17";"23";"41";"0";"1007";"0";"0";"pioggia temporale "
Venezia;18/9/2022;"15";"10";"21";"10";"77";"21";"9";"13";"0";"1013";"0";"0";""
Venezia;19/9/2022;"17";"11";"23";"10";"66";"21";"9";"17";"0";"1012";"0";"0";""
Venezia;20/9/2022;"17";"12";"21";"8";"58";"19";"12";"24";"0";"1017";"0";"0";""
Venezia;21/9/2022;"16";"12";"20";"8";"58";"21";"16";"33";"0";"1021";"0";"0";"pioggia "
Venezia;22/9/2022;"15";"11";"19";"7";"60";"20";"12";"18";"0";"1021";"0";"0";""
Venezia;23/9/2022;"16";"10";"21";"8";"61";"22";"11";"15";"0";"1020";"0";"0";""
Venezia;24/9/2022;"17";"13";"21";"11";"72";"20";"11";"15";"0";"1016";"0";"0";"pioggia "
Venezia;25/9/2022;"17";"14";"20";"14";"85";"17";"10";"18";"0";"1011";"0";"0";"pioggia "
Venezia;26/9/2022;"17";"13";"21";"14";"82";"15";"8";"17";"0";"1006";"0";"0";""
Venezia;27/9/2022;"16";"13";"21";"13";"80";"20";"13";"26";"0";"1000";"0";"0";"pioggia temporale "
Venezia;28/9/2022;"15";"11";"19";"12";"81";"20";"12";"18";"0";"1000";"0";"0";"pioggia "
Venezia;29/9/2022;"17";"13";"21";"14";"82";"19";"9";"18";"0";"999";"0";"0";"pioggia temporale "
Venezia;30/9/2022;"16";"13";"19";"14";"90";"20";"12";"18";"0";"1008";"0";"0";"pioggia "
